Superhero,Universe,alignment,combat,durability,gender,id,identity,intelligence,power,race,speed,strength
Juggernaut,Marvel Comics,Neutral,75,100,Male,289,Cain Marko,70,100,Human,65,100
Justice,Marvel Comics,Good,30,70,Male,290,Vance Astrovik,75,60,Human,35,10
Justin Hammer,Marvel Comics,Bad,15,10,Male,291,Justin Hammer,100,10,Human,15,10
Kaecilius (MCU),Marvel Comics,Bad,100,55,Male,292,Kaecilius,85,100,Human,50,20
Kaguya Ōtsutsuki,Shueisha,Bad,90,100,Female,293,Ōtsutsuki Kaguya,55,100,God / Eternal,100,100
Kai (The LEGO Ninjago Movie),Lego,Good,100,55,Male,294,Kai,85,85,Human,60,10
Kale,Shueisha,Neutral,100,100,Female,295,Kale,85,100,Saiyan,100,100
Kanto,DC Comics,Bad,100,90,Male,296,Iluthin,90,100,New God,65,60
Karnak (MCU),Marvel Comics,Good,100,55,Male,297,Karnak Mander-Azur,95,55,Inhuman,45,15
Katana (DCEU),DC Comics,Good,100,40,Female,298,Tatsu Yamashiro,70,55,Human,50,10
Katana,DC Comics,Good,95,40,Female,299,Tatsu Yamashiro,80,60,Human,50,10
Kefla,Shueisha,Neutral,100,100,Female,300,Kale/Caulifla,85,100,Saiyan,100,100
Kenshiro,Shueisha,Good,100,65,Male,301,Kenshiro,85,100,Human,65,90
KGBeast,DC Comics,Bad,95,50,Male,302,Anatoli Knyazev,70,65,Cyborg,30,20
Kid Flash (CW),DC Comics,Good,70,65,Male,303,Wally West,70,90,Metahuman,90,40
Kid Flash II,DC Comics,Good,75,60,Male,304,Bartholomew Allen II,90,100,Human,100,30
Kilgrave (MCU),Marvel Comics,Bad,40,20,Male,305,Kevin Thompson,80,80,Human,15,10
Killer Croc (DCEU),DC Comics,Bad,75,85,Male,306,Waylon Jones,90,75,Metahuman,40,60
Killer Croc,DC Comics,Bad,60,90,Male,307,Waylon Jones,60,55,Metahuman,35,55
Killer Frost,DC Comics,Bad,30,35,Female,308,Caitlin Snow,95,60,Human,15,10
Killian (MCU),Marvel Comics,Bad,90,70,Male,309,Aldrich Killian,100,80,Metahuman,60,50
Killmonger (MCU),Marvel Comics,Bad,95,80,Male,310,Erik Stevens,85,80,Human,60,60
King Thanos,Marvel Comics,Bad,95,100,Male,311,Thanos,100,100,Titanian,80,100
Kingpin,Marvel Comics,Bad,70,40,Male,312,Wilson Grant Fisk,90,15,Human,25,20
Klaw (MCU),Marvel Comics,Bad,70,40,Male,313,Ulysses Klaue,85,35,Human,40,15
Klaw,Marvel Comics,Bad,60,100,Male,314,Ulysses Klaw,80,60,Human,35,40
Koko (The LEGO Ninjago Movie),Lego,Good,100,20,Female,315,Koko,90,55,Human,40,20
Kraven II,Marvel Comics,Bad,85,30,Male,316,Alyosha Kravinoff,75,45,Human,25,35
Kraven the Hunter,Marvel Comics,Bad,85,40,Male,317,Sergei Kravinoff,80,25,Human,35,30
Krypto,DC Comics,Good,40,90,Male,318,Krypto the Superdog,55,80,Kryptonian,100,80
Lady Bullseye,Marvel Comics,Bad,90,45,Female,319,Maki Matsumotu,90,40,Human,20,10
Lady Deadpool,Marvel Comics,Neutral,100,100,Female,320,Wanda Wilson,50,100,Mutant,60,15
Lady Deathstrike,Marvel Comics,Bad,90,85,Female,321,Yuriko Oyama,80,50,Cyborg,40,30
Lady Shiva,DC Comics,Neutral,100,30,Female,322,Sandra Wu-San,90,40,Human,35,10
Lance Hunter (MCU),Marvel Comics,Good,85,35,Male,323,Lance Hunter,85,35,Human,40,15
Laufey (MCU),Marvel Comics,Bad,75,80,Male,324,Laufey,80,70,Frost Giant,60,30
Lauren Strucker (Fox),Marvel Comics,Good,55,15,Female,325,Lauren Strucker,75,85,Mutant,20,10
Leo Fitz (MCU),Marvel Comics,Good,80,25,Male,326,Leopold Fitz,100,20,Human,25,10
Lex Luthor (DCEU),DC Comics,Bad,50,20,Male,327,Alexander Joseph Luthor,100,20,Human,15,10
Lex Luthor (Injustice),DC Comics,Bad,70,65,Male,328,Alexander Luthor,100,90,Human,25,55
Lex Luthor,DC Comics,Bad,70,65,Male,329,Lex Luthor,100,70,Human,25,55
Lightspeed,Marvel Comics,Good,100,55,Female,330,Julie Power,90,80,Human,100,10
Livewire,DC Comics,Good,85,95,Female,331,Leslie Willis,85,70,Human,90,60
Lizard,Marvel Comics,Bad,55,70,Male,332,Curtis Connors,75,75,Human,60,50
Lloyd (The LEGO Ninjago Movie),Lego,Good,100,40,Male,333,Lloyd Garmadon,85,70,Human,70,10
Lobo,DC Comics,Neutral,85,100,Male,334,Lobo,95,100,Czarnian,55,100
Lockjaw,Marvel Comics,Good,30,50,Male,335,Lockjaw,70,60,Inhuman,90,30
Luke Cage,Marvel Comics,Good,70,95,Male,336,Luke Cage,75,45,Human,30,65
Luke Skywalker,George Lucas,Good,100,25,Male,337,Luke Skywalker,85,100,Human,40,40
Luna,Marvel Comics,Good,15,15,Female,338,Luna Maximoff,70,55,Human,85,5
Madara Uchiha,Shueisha,Bad,100,100,Male,339,Uchiha Madara,90,100,Human,100,100
Maestro Hulk,Marvel Comics,Bad,85,100,Male,340,Bruce Banner,100,100,Human / Radiation,85,100
Man-Bat,DC Comics,Neutral,30,70,Male,341,Robert Kirkland Langstrom,70,35,Human,50,20
Mandarin,Marvel Comics,Bad,95,30,Male,342,Khan,100,100,Human,25,30
Maria Hill (MCU),Marvel Comics,Good,70,25,Female,343,Maria Hill,90,25,Human,20,20
Mario,Nintendo,Good,55,100,Male,344,Mario Mario,75,100,Human,100,100
Martian Manhunter,DC Comics,Good,85,100,Male,345,"J'onn J'onzz",100,100,Martian,90,95
Master Chief,Microsoft,Good,100,80,Male,346,John-117,90,70,Human / Altered,35,75
Maximus (MCU),Marvel Comics,Bad,75,20,Male,347,Maximus Boltagon,95,15,Human,20,10
"M'baku (MCU)",Marvel Comics,Good,85,40,Male,348,"M'Baku",75,40,Human,30,15
Medusa (MCU),Marvel Comics,Good,85,50,Female,349,Medusalith Amaquelin,85,50,Inhuman,30,20
Melinda May (MCU),Marvel Comics,Good,100,20,Female,350,Melinda May,100,20,Human,20,10
Mera (New 52),DC Comics,Good,100,90,Female,351,Mera,95,100,Atlantean,90,90
Mera,DC Comics,Good,80,60,Female,352,Mera,80,90,Atlantean,80,60
Metallo,DC Comics,Bad,65,95,Male,353,John Corben,90,85,Android,25,55
Michael Demiurgos,DC Comics,Neutral,100,100,Male,354,Michael Demiurgos,100,100,God / Eternal,100,100
Might Guy,Shueisha,Good,100,95,Male,355,Might Guy,80,85,Human,80,100
Mirror Master (CW),DC Comics,Bad,75,35,Male,356,Sam Scudder,70,55,Metahuman,25,15
Mister Fantastic (FOX),Marvel Comics,Good,65,55,Male,357,Reed Richards,100,80,Human / Radiation,35,20
Mister Fantastic,Marvel Comics,Good,65,85,Male,358,Reed Richards,100,40,Human / Radiation,25,10
Mister Freeze,DC Comics,Bad,30,70,Male,359,Victor Fries,90,40,Human,10,30
Mister Miracle,DC Comics,Good,80,85,Male,360,Scott Free,95,100,God / Eternal,90,85
Mister Mxyzptlk,DC Comics,Bad,50,100,Male,361,Mr. Mxyzptlk,100,100,God / Eternal,100,100
Mister Sinister,Marvel Comics,Bad,50,90,Male,362,Nathaniel Essex,100,100,Human / Altered,45,50
Mister Terrific (CW),DC Comics,Good,80,35,Male,363,Curtis Holt,100,50,Human,40,15
Misty Knight (MCU),Marvel Comics,Good,90,35,Female,364,Mercedes Kelly,90,50,Human,35,30
Misty Knight,Marvel Comics,Good,75,45,Female,365,"Mercedes 'Misty' Knight",75,65,Cyborg,25,60
Mockingbird (MCU),Marvel Comics,Good,100,55,Female,366,Barbara Morse,100,50,Human,55,10
Mockingbird,Marvel Comics,Good,95,20,Female,367,Barbara Morse,90,50,Human,40,30
Mongul The Elder,DC Comics,Bad,100,100,Male,368,Mongul,90,100,Alien,60,100
Moon Knight,Marvel Comics,Good,75,40,Male,369,Marc Spector,75,30,Human,25,35
Mr Incredible,Dark Horse Comics,Good,40,95,Male,370,Robert Parr,75,30,Human,35,85
Mysterio,Marvel Comics,Bad,70,40,Male,371,Quentin Beck,90,80,Human,15,10
Mystique (FOX),Marvel Comics,Bad,100,50,Female,372,Raven Darkhölme,95,95,Mutant,50,25
Mystique,Marvel Comics,Bad,90,50,Female,373,Raven Darkholme,85,75,Mutant,50,20
Nagato Uzumaki,Shueisha,Neutral,70,80,Male,374,Nagato Uzumaki,70,100,Human,50,55
Namor,Marvel Comics,Good,85,70,Male,375,Namor McKenzie,85,75,Atlantean,60,95
Naruto Uzumaki,Shueisha,Good,100,100,Male,376,Uzumaki Naruto,70,100,Human,100,100
Nebula (MCU),Marvel Comics,Neutral,100,55,Female,377,Nebula,85,100,Titanian,50,20
Negasonic Teenage Warhead (FOX,Marvel Comics,Good,55,15,Female,378,Ellie Phimister,80,55,Mutant,25,10
Negasonic Teenage Warhead,Marvel Comics,Good,35,10,Female,379,Ellie Phimister,75,45,Mutant,10,5
Neji,Shueisha,Good,100,35,Male,380,Neji Hyuga,90,65,Human,60,10
Nekron,DC Comics,Bad,100,95,Male,381,Nekron,90,100,God / Eternal,75,100
Nick Fury (MCU),Marvel Comics,Good,85,45,Male,382,Nicholas Fury,95,35,Human,30,15
Nick Fury,Marvel Comics,Good,100,40,Male,383,Nicholas Joseph Fury,90,25,Human,25,10
Nightcrawler (FOX),Marvel Comics,Good,85,20,Male,384,Kurt Wagner,70,75,Mutant,60,10
Nightshade,DC Comics,Neutral,65,65,Female,385,Eve Eden,85,100,Human,35,10
Nightwing (Arkham),DC Comics,Good,95,45,Male,386,Dick Grayson,90,50,Human,80,20
Nite Owl II,DC Comics,Good,80,40,Male,387,Daniel Dreiberg,85,60,Human,40,25
Nite Owl,DC Comics,Good,90,45,Male,388,Hollis Mason,85,45,Human,35,25
Nobu (MCU),Marvel Comics,Bad,100,50,Male,389,Nobu Yoshioka,80,60,Human,50,15
Nomad (MCU),Marvel Comics,Good,100,65,Male,390,Steve Rogers,90,65,Human,60,35
Nya (The LEGO Ninjago Movie),Lego,Good,70,15,Male,391,Nya,95,80,Human,20,10
Obito Uchiha,Shueisha,Bad,100,100,Male,392,Uchiha Obito,85,100,Human,90,100
Ocean Master,DC Comics,Bad,80,75,Male,393,Orm Curry Marius,90,100,Atlantean,70,75
Old Man Logan (FOX),Marvel Comics,Good,95,75,Male,394,James Howlett,85,75,Mutant,35,30
Omega,Marvel Comics,Bad,90,85,Male,395,The Omega,80,100,Demon,80,100
One Punch Man,Shueisha,Good,65,100,Male,396,Saitama,60,65,Human,95,100
Onslaught,Marvel Comics,Bad,75,100,Male,397,Onslaught,95,100,Mutant,85,100
Owlman,DC Comics,Bad,95,50,Male,398,Thomas Wayne Jr.,100,55,Human,30,15
Pandora,DC Comics,Neutral,100,80,Female,399,Pandora,95,100,Human,60,10
Peggy Carter (MCU),Marvel Comics,Good,95,40,Female,400,Margaret Carter,95,35,Human,35,10
Penguin,DC Comics,Bad,45,35,Male,401,Oswald Cobblepot,95,45,Human,15,10
Pied Piper (CW),DC Comics,Good,65,15,Male,402,Hartley Rathaway,100,55,Metahuman,20,10
Plantman,Marvel Comics,Bad,25,55,Male,403,Samuel Smithers,80,60,Mutant,25,60
Plastic Man,DC Comics,Good,55,100,Male,404,"Patrick O'Brian",75,100,Human,25,65
Poison Ivy (Arkham),DC Comics,Bad,75,70,Female,405,Pamela Isley,95,100,Human,55,15
Poison Ivy,DC Comics,Bad,70,70,Female,406,Pamela Isley,90,100,Human,30,15
Polaris (Fox),Marvel Comics,Good,70,25,Female,407,Lorna Dane,80,100,Mutant,30,10
Polaris,Marvel Comics,Good,45,50,Female,408,Lorna Dane,80,100,Mutant,40,75
Power Girl (New 52),DC Comics,Good,80,100,Female,409,Kara Zor-L,95,75,Kryptonian,90,100
Power Girl,DC Comics,Good,75,100,Female,410,Kara Zor-L,95,100,Kryptonian,100,100
Predator,Dark Horse Comics,Bad,90,85,Male,411,Yautja,80,100,Yautja,25,30
Professor Dumbledore,J. K. Rowling,Good,90,65,Male,412,Albus Dumbledore,100,100,Human,65,5
Professor X (FOX),Marvel Comics,Good,60,15,Male,413,Charles Francis Xavier,100,100,Mutant,10,10
Professor Zoom,DC Comics,Bad,20,20,Male,414,Eobard Thawne,95,85,Human,100,10
Prometheus (CW),DC Comics,Bad,100,50,Male,415,Adrian Chase,100,50,Human,45,15
Proxima Midnight (MCU),Marvel Comics,Bad,95,65,Female,416,Proxima Midnight,75,70,Alien,65,55
Psylocke,Marvel Comics,Good,90,40,Female,417,Elizabeth Braddock,80,100,Mutant,25,35
Punisher,Marvel Comics,Good,100,45,Male,418,Frank Castle,85,40,Human,20,15
Purple Man,Marvel Comics,Bad,10,30,Male,419,Zebediah Killgrave,80,90,Human,10,10
Pyro (FOX),Marvel Comics,Bad,30,15,Male,420,St. John Allerdyce,75,45,Mutant,15,10
Question,DC Comics,Good,85,35,Male,421,Charles Szasz,95,25,Human,25,10
Quicksilver,Marvel Comics,Good,55,60,Male,422,Pietro Django Maximoff,80,80,Mutant,100,30
Ragman (CW),DC Comics,Good,70,90,Male,423,Rory Regan,75,75,Human,35,30
"Ra's Al Ghul (CW)",DC Comics,Bad,100,50,Male,424,Unknown,90,60,Human,50,20
"Ra's Al Ghul",DC Comics,Bad,100,40,Male,425,"Ra's Al Ghul",100,25,Human,30,30
Raven (Titans),DC Comics,Good,50,30,Female,426,Rachel Roth,70,100,Human,30,10
Ray,Lego,Good,100,30,Male,427,Ray,90,85,Human,25,15
Red Arrow,DC Comics,Good,80,20,Male,428,Roy Harper,80,25,Human,25,15
Red Hood (New 52),DC Comics,Neutral,100,45,Male,429,Jason Todd,90,40,Human,30,15
Red Hulk (Ghost Rider) (Venom),Marvel Comics,Neutral,75,100,Male,430,Thaddeus Ross,75,100,Human / Radiation,100,100
Red Hulk,Marvel Comics,Neutral,75,85,Male,431,Thaddeus E. Ross,75,80,Human / Radiation,45,100
Red Skull (MCU),Marvel Comics,Bad,65,40,Male,432,Johann Shmidt,95,95,Human,40,45
Rey,George Lucas,Good,70,25,Female,433,Rey,65,100,Human,25,35
Rhino,Marvel Comics,Bad,85,90,Male,434,Aleksei Mikhailovich Sytsevich,65,35,Human / Radiation,45,80
Rick Sanchez,Cartoon Network,Neutral,80,55,Male,435,Rick Sanchez,100,100,Human,20,10
Riot (SONY),Marvel Comics,Bad,85,90,Male,436,Carlton Drake,80,100,Symbiote,60,70
Robin II,DC Comics,Good,85,30,Male,437,Jason Todd,90,30,Human,25,10
Robin (Titans),DC Comics,Good,100,45,Male,438,Jason Todd,80,40,Human,45,10
Robin V,DC Comics,Good,65,15,Male,439,Damian Wayne,85,30,Human,35,10
Robin VI,DC Comics,Neutral,70,20,Female,440,Carrie Kelley,75,15,Human,25,10
Robin,DC Comics,Good,85,30,Male,441,Dick Grayson,95,30,Human,25,10
Rock Lee,Shueisha,Good,100,70,Male,442,Rock Lee,70,75,Human,50,90
Rocket Raccoon (MCU),Marvel Comics,Good,80,45,Male,443,Rocket Raccoon,95,45,Animal,60,15
Rocket Raccoon,Marvel Comics,Good,65,30,Male,444,Rocket Raccoon,75,30,Animal,25,5
Rogue (FOX),Marvel Comics,Good,85,45,Female,445,Anna Marie,90,90,Mutant,45,20
Ronin (MCU),Marvel Comics,Good,95,40,Male,446,Clint Barton,90,45,Human,40,15
Ronin (Ninjago),Lego,Neutral,100,15,Male,447,Ronin,100,75,Human,20,10
Rorschach,DC Comics,Good,80,20,Male,448,Walter Joseph Kovacs,90,25,Human,30,10
Sabretooth (FOX),Marvel Comics,Bad,90,90,Male,449,Victor Creed,80,100,Mutant,65,70
Sabretooth,Marvel Comics,Bad,100,90,Male,450,Victor Creed,80,50,Mutant,40,50
Sakura Haruno,Shueisha,Good,100,75,Female,451,Haruno Sakura,70,100,Human,100,100
Sandman (SONY),Marvel Comics,Neutral,70,95,Male,452,Flint Marko,70,100,Metahuman,70,75
Sandman,DC Comics,Good,95,45,Male,453,Wesley Dodds,90,65,Metahuman,35,40
Sasuke Uchiha,Shueisha,Good,100,100,Male,454,Uchiha Sasuke,75,100,Human,100,100
Saturn Girl (CW),DC Comics,Good,75,40,Female,455,Imra Ardeen,80,90,Titanian,30,35
Scarlet Spider II,Marvel Comics,Good,55,40,Male,456,Kaine Parker,95,35,Clone,60,55
Sebastian Shaw (FOX),Marvel Comics,Bad,50,90,Male,457,Sebastian Hiram Shaw,100,85,Mutant,25,75
Selene,IDW Publishing,Good,85,75,Female,458,Selene,75,100,Vampire,65,85
Sentry,Marvel Comics,Good,45,100,Male,459,Robert Reynolds,90,100,Human,100,100
Shades (MCU),Marvel Comics,Bad,85,40,Male,460,Herman Enrique Salazar Alvarez,90,35,Human,30,20
Shadowcat (FOX),Marvel Comics,Good,90,55,Male,461,Katherine Anne Pryde,100,45,Mutant,45,20
Shadowcat,Marvel Comics,Good,70,25,Female,462,Kitty Pryde,95,70,Mutant,20,10
Shang-Chi,Marvel Comics,Good,100,50,Male,463,Shang-Chi,80,30,Human,30,10
Shao Kahn,Mortal Kombat,Bad,95,75,Male,464,Shao Kahn,50,100,God / Eternal,75,50
Sharon Carter,Marvel Comics,Good,60,40,Female,465,Sharon Carter,95,55,Human,20,10
Shazam,DC Comics,Good,75,95,Male,466,Billy Batson,95,100,Human,90,100
She-Hulk,Marvel Comics,Good,80,100,Female,467,Jennifer Walters,85,100,Human,80,100
Sherlock Holmes,Dark Horse Comics,Good,85,35,Male,468,Sherlock Holmes,100,75,Human,30,35
Shikamaru,Shueisha,Good,100,75,Male,469,Shikamaru Nara,100,85,Human,50,10
Shocker,Marvel Comics,Bad,55,70,Male,470,Herman Schultz,80,80,Human,25,10
Shuri (MCU),Marvel Comics,Good,95,100,Female,471,Shuri,90,40,Human,45,10
Sif (MCU),Marvel Comics,Good,90,85,Female,472,Sif,90,100,Asgardian,70,95
Sif,Marvel Comics,Good,70,80,Female,473,Sif,80,100,Asgardian,65,90
Silk,Marvel Comics,Good,65,70,Female,474,Cindy Moon,90,70,Human,70,50
Silver Banshee,DC Comics,Bad,70,75,Female,475,Siobhan McDougal,75,100,Human,75,15
Silver Samurai (FOX),Marvel Comics,Bad,85,80,Male,476,Ichirō Yashida,90,75,Human,30,60
Silver Surfer,Marvel Comics,Good,30,90,Male,477,Norrin Radd,80,100,Alien,100,100
Solomon Grundy,DC Comics,Bad,30,100,Male,478,Cyrus Gold,55,90,Zombie,15,95
Solomon Kane,Dark Horse Comics,Good,55,45,Male,479,Solomon Kane,70,50,Human,30,15
Space Ghost,DC Comics,Good,80,40,Male,480,Thaddeus Bach,70,95,Human,35,20
Spartan,DC Comics,Good,95,45,Male,481,John Diggle,85,50,Human,35,15
Spawn,Image Comics,Good,100,100,Male,482,Al Simmons,90,100,Demon,50,70
Speedy,DC Comics,Good,70,20,Female,483,Thea Queen,75,25,Human,35,5
Spider-Man (Black) (Raimi),Marvel Comics,Good,80,70,Male,484,Peter Benjamin Parker,90,70,Metahuman,65,55
Spider-Man Noir,Marvel Comics,Good,95,75,Male,485,Peter Parker,100,75,Human,70,55
Spider-Woman,Marvel Comics,Good,70,60,Female,486,Jessica Drew,80,70,Human,40,40
Spyke,Marvel Comics,Good,30,60,Male,487,Evan Daniels,75,50,Mutant,15,10
Star-Lord,Marvel Comics,Good,70,50,Male,488,Peter Quill,85,25,Human-Spartoi,35,20
Star Sapphire,DC Comics,Good,70,70,Female,489,Carol Ferris,90,100,Human,75,55
Starfire (Titans),DC Comics,Good,90,70,Female,490,"Koriand'r",90,75,Tamaranean,40,50
Starfire,DC Comics,Good,75,85,Female,491,"Koriand'r",80,100,Tamaranean,100,90
Stargirl,DC Comics,Good,70,90,Female,492,Courtney Whitmore,80,100,Human,50,80
Starling,DC Comics,Good,85,25,Female,493,Evelyn Crawford,85,20,Human,15,10
Steel Serpent (MCU),Marvel Comics,Bad,100,40,Male,494,Davos,70,45,Human,50,15
Steel,DC Comics,Good,65,90,Male,495,John Irons,90,65,Human,55,80
Stick (MCU),Marvel Comics,Neutral,100,40,Male,496,Unknown,85,50,Human,40,10
Storm (FOX),Marvel Comics,Good,70,45,Female,497,Ororo Munroe,75,100,Mutant,65,25
Strange Visitor Superman,DC Comics,Good,90,100,Male,498,Kal-El,90,100,Kryptonian,100,100
Sunspot,Marvel Comics,Good,70,25,Male,499,Roberto DaCosta,80,100,Mutant,35,65
Superboy-Prime,DC Comics,Bad,85,100,Male,500,Kal-El,95,100,Kryptonian,100,100
Supergirl (Injustice),DC Comics,Good,95,100,Female,501,Kara Zor-El,90,100,Kryptonian,100,100
Superman (2006),DC Comics,Good,75,100,Male,502,Kal-El,85,100,Kryptonian,100,100
Superman (Smallville),DC Comics,Good,85,100,Male,503,Kal-El,95,100,Kryptonian,100,100
Swamp Thing,DC Comics,Bad,55,100,Male,504,Alec Holland,95,100,God / Eternal,25,95
Swarm,Marvel Comics,Bad,35,90,Male,505,Fritz von Meyer,90,40,Mutant,50,20
T-X,Dark Horse Comics,Bad,80,85,Female,506,Cyberdyne Systems Series X Terminator,90,100,Cyborg,30,65
Taskmaster,Marvel Comics,Bad,100,20,Male,507,Tony Masters,90,65,Human,50,10
Thanos,Marvel Comics,Bad,100,100,Male,508,Thanos,100,100,Eternal,75,100
The Batman Of Zur-En-Arrh,DC Comics,Good,100,50,Male,509,Tlano,100,60,Human,45,30
The Boy,Dark Horse Comics,Good,85,10,Male,510,Number Five,85,100,Human / Altered,10,5
The Comedian,DC Comics,Neutral,80,10,Male,511,Edward Morgen Blake,80,10,Human,15,15
The Crow,Image Comics,Good,100,100,Male,512,Eric Draven,75,100,Human,50,30
The Executioner (MCU),Marvel Comics,Neutral,85,75,Male,513,Skurge,70,70,Asgardian,60,65
The Flash (CW),DC Comics,Good,65,70,Male,514,Jay Garrick,85,100,Metahuman,100,30
The Keeper,Marvel Comics,Good,75,100,Male,515,Norrin Radd,75,100,Alien,100,100
The Ray (CW),DC Comics,Good,75,100,Male,516,Ray Terrill,75,100,Metahuman,95,70
The Rival (CW),DC Comics,Bad,80,70,Male,517,Edward Clariss,75,100,Metahuman,95,30
The Scarecrow (Gotham),DC Comics,Bad,80,30,Male,518,Jonathan Crane,90,40,Human,35,10
The Shocker (MCU),Marvel Comics,Bad,60,70,Male,519,Herman Schultz,85,60,Human,25,10
The Thing (FOX),Marvel Comics,Good,95,90,Male,520,Ben Grimm,70,65,Human / Radiation,50,80
The Thinker (CW),DC Comics,Bad,50,30,Male,521,Clifford DeVoe,100,100,Metahuman,30,10
The Wasp,Marvel Comics,Good,40,50,Female,522,Janet van Dyne,80,30,Human,60,15
Thor Girl,Marvel Comics,Good,70,85,Female,523,Tarene,90,100,Asgardian,70,85
Thor (Odin Force),Marvel Comics,Good,100,100,Male,524,Thor Odinson,85,100,God / Eternal,100,100
Titania,Marvel Comics,Bad,90,95,Female,525,Mary McPherran,90,75,Mutant,90,80
Toad (FOX),Marvel Comics,Bad,80,55,Male,526,Mortimer Toynbee,80,65,Mutant,60,30
Toad,Marvel Comics,Neutral,30,55,Male,527,Mortimer Toynbee,75,70,Mutant,60,35
Toxin,Marvel Comics,Good,70,85,Male,528,Eddie Brock,90,95,Symbiote,40,80
Toymaster,DC Comics,Good,40,50,Male,529,Hiro Okamura,100,60,Human,20,10
Triton,Marvel Comics,Good,55,65,Male,530,Triton,80,35,Inhuman,50,65
Two-Face,DC Comics,Bad,70,15,Male,531,Harvey Dent,85,30,Human,15,10
Typhoid Mary (MCU),Marvel Comics,Neutral,100,35,Female,532,Mary Walker,90,45,Human,40,15
Ultimo,Marvel Comics,Bad,100,100,Male,533,Doomsday Device,50,100,Android,50,100
Valkyrie (MCU),Marvel Comics,Good,55,95,Female,534,Brunnhilde,90,95,Asgardian,85,95
Valkyrie,Marvel Comics,Good,90,80,Female,535,Brunnhilde,80,100,Asgardian,70,60
Venom III,Marvel Comics,Bad,55,90,Male,536,MacDonald Gargan,80,75,Symbiote,35,75
Venom,Marvel Comics,Bad,85,85,Male,537,Eddie Brock,90,85,Symbiote,65,55
Vibe (CW),DC Comics,Bad,65,40,Male,538,Cisco Ramon,100,80,Metahuman,45,10
Vibe,DC Comics,Good,30,30,Male,539,Cisco Ramon,75,100,Human,15,10
Vigilante (CW),DC Comics,Good,90,60,Male,540,Vincent Sobel,85,70,Metahuman,45,15
Vili,Marvel Comics,Good,100,85,Male,541,Vili,100,100,Asgardian,70,55
Violet Parr,Dark Horse Comics,Good,15,50,Female,542,Violet Parr,80,80,Human,15,10
Vision,Marvel Comics,Good,70,95,Male,543,Vision,100,100,Android,55,70
Vixen (CW),DC Comics,Good,95,55,Female,544,Amaya Jiwe,85,80,Human,65,50
Vixen II (CW),DC Comics,Good,80,60,Female,545,Mari,80,100,Human,70,50
Vixen,DC Comics,Good,25,50,Female,546,Mari McCabe,75,60,Human,50,40
Volstagg (MCU),Marvel Comics,Good,85,80,Male,547,Volstagg,70,75,Asgardian,55,60
Vulture (MCU),Marvel Comics,Bad,75,55,Male,548,Adrian Toomes,85,60,Human,60,45
Vulture,Marvel Comics,Bad,30,25,Male,549,Adrian Toomes,90,25,Human,40,20
Walrus,Marvel Comics,Bad,20,50,Male,550,Hubert Carpent,75,10,Human,10,30
War Machine,Marvel Comics,Good,85,100,Male,551,James Rhodes,80,100,Human,65,80
Warpath,Marvel Comics,Good,85,70,Male,552,James Proudstar,70,25,Mutant,45,70
Wesker,Capcom,Bad,100,50,Male,553,Albert Wesker,100,100,Human / Altered,50,50
White Canary (CW),DC Comics,Good,100,50,Female,554,Sara Lance,100,55,Human,100,20
White Wolf (MCU),Marvel Comics,Good,100,60,Male,555,James Buchanan Barnes,80,70,Human,60,50
Wild Dog (CW),DC Comics,Good,90,45,Male,556,Rene Ramirez,80,40,Human,35,15
William Stryker (FOX),Marvel Comics,Bad,70,25,Male,557,"William Stryker, Jr.",100,20,Human,15,15
Winter Soldier,Marvel Comics,Good,85,65,Male,558,Bucky Barnes,80,60,Human,35,30
Wonder Girl (Titans),DC Comics,Good,100,65,Female,559,Donna Troy,100,70,Amazon,65,95
Wonder Girl,DC Comics,Good,100,100,Female,560,Diana Prince,95,100,Demi-God,75,100
Wong (MCU),Marvel Comics,Good,70,45,Male,561,Wong,70,100,Human,40,60
World Breaker Hulk,Marvel Comics,Good,85,100,Male,562,Bruce Banner,85,100,Human / Radiation,85,100
X-23 (FOX),Marvel Comics,Good,80,85,Female,563,Laura Kinney,90,85,Mutant,70,65
X-23,Marvel Comics,Good,95,100,Female,564,Laura Kinney,90,55,Mutant / Clone,40,25
YellowJacket (MCU),Marvel Comics,Bad,70,70,Male,565,Darren Cross,95,70,Human,60,35
Yellowjacket,Marvel Comics,Good,15,30,Male,566,Hank Pym,95,10,Human,10,10
Yo-yo (MCU),Marvel Comics,Good,90,40,Female,567,Elena Rodriguez,80,60,Inhuman,100,35
Yoda,George Lucas,Good,90,25,Male,568,Yoda,95,100,"Yoda's species",35,50
Yukio (FOX),Marvel Comics,Good,100,30,Female,569,Yukio,80,45,Mutant,50,10
Zatanna,DC Comics,Good,55,30,Female,570,Zatanna Zatara,90,100,Human,25,10
